,row,col,area
0,132,177,1
1,133,174,1
2,133,176,1
3,135,169,1
4,135,190,1
5,136,175,1
6,136,210,1
7,137,192,1
8,137,199,1
9,137,206,1
10,138,185,1
11,139,174,1
12,139,204,1
13,139,205,1
14,140,172,1
15,140,175,1
16,140,202,1
17,140,203,1
18,140,204,1
19,140,205,1
20,141,202,1
21,141,203,1
22,141,204,1
23,141,205,1
24,141,206,1
25,141,257,1
26,142,202,1
27,142,203,1
28,142,204,1
29,142,250,1
30,142,289,1
31,143,168,1
32,143,177,1
33,143,191,1
34,143,203,1
35,143,214,1
36,143,249,1
37,144,194,1
38,144,203,1
39,145,197,1
40,145,198,1
41,145,201,1
42,145,203,1
43,145,209,1
44,145,247,1
45,146,204,1
46,146,247,1
47,146,248,1
48,146,249,1
49,146,250,1
50,146,251,1
51,147,198,1
52,147,224,1
53,147,229,1
54,147,247,1
55,147,248,1
56,147,249,1
57,147,250,1
58,147,251,1
59,147,252,1
60,147,254,1
61,147,261,1
62,148,176,1
63,148,196,1
64,148,205,1
65,148,226,1
66,148,237,1
67,148,246,1
68,148,247,1
69,148,248,1
70,148,249,1
71,148,250,1
72,148,251,1
73,148,252,1
74,148,253,1
75,148,257,1
76,149,171,1
77,149,178,1
78,149,199,1
79,149,234,1
80,149,245,1
81,149,246,1
82,149,247,1
83,149,248,1
84,149,249,1
85,149,250,1
86,149,251,1
87,149,252,1
88,149,253,1
89,149,255,1
90,149,256,1
91,150,204,1
92,150,245,1
93,150,246,1
94,150,247,1
95,150,248,1
96,150,249,1
97,150,250,1
98,150,251,1
99,150,252,1
100,150,253,1
101,150,254,1
102,150,255,1
103,150,256,1
104,150,257,1
105,150,258,1
106,150,266,1
107,150,283,1
108,151,173,1
109,151,224,1
110,151,233,1
111,151,244,1
112,151,246,1
113,151,247,1
114,151,248,1
115,151,249,1
116,151,250,1
117,151,251,1
118,151,252,1
119,151,253,1
120,151,254,1
121,151,255,1
122,151,256,1
123,151,257,1
124,152,190,1
125,152,203,1
126,152,240,1
127,152,245,1
128,152,246,1
129,152,247,1
130,152,248,1
131,152,249,1
132,152,250,1
133,152,251,1
134,152,252,1
135,152,253,1
136,152,254,1
137,152,255,1
138,152,256,1
139,152,280,1
140,153,177,1
141,153,178,1
142,153,246,1
143,153,247,1
144,153,248,1
145,153,250,1
146,153,251,1
147,153,252,1
148,153,253,1
149,153,254,1
150,153,255,1
151,153,258,1
152,153,273,1
153,154,176,1
154,154,177,1
155,154,181,1
156,154,200,1
157,154,203,1
158,154,254,1
159,154,259,1
160,155,176,1
161,155,245,1
162,155,249,1
163,155,250,1
164,155,258,1
165,155,297,1
166,155,298,1
167,155,299,1
168,156,200,1
169,156,247,1
170,156,251,1
171,156,253,1
172,156,258,1
173,156,298,1
174,156,299,1
175,156,300,1
176,157,196,1
177,157,203,1
178,157,250,1
179,157,254,1
180,157,276,1
181,157,299,1
182,157,300,1
183,157,301,1
184,157,302,1
185,158,181,1
186,158,212,1
187,158,236,1
188,158,254,1
189,158,299,1
190,158,300,1
191,159,251,1
192,159,286,1
193,159,302,1
194,159,304,1
195,159,307,1
196,160,214,1
197,160,220,1
198,160,248,1
199,160,253,1
200,160,262,1
201,160,290,1
202,160,302,1
203,160,303,1
204,161,195,1
205,161,250,1
206,161,261,1
207,161,263,1
208,161,268,1
209,161,286,1
210,161,290,1
211,161,304,1
212,161,309,1
213,162,218,1
214,162,240,1
215,162,245,1
216,162,295,1
217,162,303,1
218,162,304,1
219,162,305,1
220,163,187,1
221,163,214,1
222,163,239,1
223,163,247,1
224,163,265,1
225,163,271,1
226,163,306,1
227,164,233,1
228,164,307,1
229,164,310,1
230,165,227,1
231,165,263,1
232,165,281,1
233,165,312,1
234,166,249,1
235,166,258,1
236,166,288,1
237,166,305,1
238,166,308,1
239,167,215,1
240,167,275,1
241,167,302,1
242,167,304,1
243,167,311,1
244,168,215,1
245,168,230,1
246,168,277,1
247,168,304,1
248,169,201,1
249,169,214,1
250,169,226,1
251,169,231,1
252,169,274,1
253,169,279,1
254,169,291,1
255,170,252,1
256,170,257,1
257,170,265,1
258,170,274,1
259,171,252,1
260,171,255,1
261,171,279,1
262,171,290,1
263,171,317,1
264,173,211,1
265,173,219,1
266,173,262,1
267,173,277,1
268,173,295,1
269,174,207,1
270,174,260,1
271,174,262,1
272,174,270,1
273,174,283,1
274,174,308,1
275,175,224,1
276,175,236,1
277,175,246,1
278,175,271,1
279,175,276,1
280,175,286,1
281,175,298,1
282,175,308,1
283,176,237,1
284,176,248,1
285,176,318,1
286,177,182,1
287,177,218,1
288,177,237,1
289,177,267,1
290,177,269,1
291,177,273,1
292,177,288,1
293,178,178,1
294,178,203,1
295,178,217,1
296,178,254,1
297,178,279,1
298,178,283,1
299,178,300,1
300,178,306,1
301,179,186,1
302,179,205,1
303,179,240,1
304,179,247,1
305,179,262,1
306,179,274,1
307,179,298,1
308,180,225,1
309,180,325,1
310,181,231,1
311,181,265,1
312,181,267,1
313,182,207,1
314,182,216,1
315,182,284,1
316,183,221,1
317,183,227,1
318,183,254,1
319,183,261,1
320,184,207,1
321,184,256,1
322,184,261,1
323,184,268,1
324,184,270,1
325,184,296,1
326,184,313,1
327,185,194,1
328,185,221,1
329,185,274,1
330,185,295,1
331,185,302,1
332,185,314,1
333,185,325,1
334,186,239,1
335,186,264,1
336,186,295,1
337,186,304,1
338,187,215,1
339,187,268,1
340,188,210,1
341,188,267,1
342,188,271,1
343,188,279,1
344,189,219,1
345,189,227,1
346,189,230,1
347,189,252,1
348,189,259,1
349,189,262,1
350,189,352,1
351,189,367,1
352,190,275,1
353,191,256,1
354,191,258,1
355,191,266,1
356,191,294,1
357,191,300,1
358,192,232,1
359,192,260,1
360,192,262,1
361,192,265,1
362,192,287,1
363,192,294,1
364,192,295,1
365,193,216,1
366,193,236,1
367,193,248,1
368,193,293,1
369,194,228,1
370,194,256,1
371,195,181,1
372,195,206,1
373,195,223,1
374,195,256,1
375,195,267,1
376,195,274,1
377,195,278,1
378,195,287,1
379,195,343,1
380,196,169,1
381,196,206,1
382,196,221,1
383,196,248,1
384,196,295,1
385,196,314,1
386,196,357,1
387,196,358,1
388,197,253,1
389,197,264,1
390,197,268,1
391,198,168,1
392,198,197,1
393,198,203,1
394,198,218,1
395,198,249,1
396,198,251,1
397,198,258,1
398,198,273,1
399,199,205,1
400,199,210,1
401,199,241,1
402,199,277,1
403,199,287,1
404,199,296,1
405,199,302,1
406,200,182,1
407,200,259,1
408,200,260,1
409,200,263,1
410,200,264,1
411,200,267,1
412,200,348,1
413,201,171,1
414,201,210,1
415,201,217,1
416,201,226,1
417,201,259,1
418,201,264,1
419,201,289,1
420,202,184,1
421,202,194,1
422,202,247,1
423,203,170,1
424,203,230,1
425,203,249,1
426,203,343,1
427,204,225,1
428,204,240,1
429,204,262,1
430,204,268,1
431,204,366,1
432,205,217,1
433,205,223,1
434,205,225,1
435,205,253,1
436,205,263,1
437,205,266,1
438,205,268,1
439,205,290,1
440,205,335,1
441,206,198,1
442,206,201,1
443,206,209,1
444,206,256,1
445,206,268,1
446,206,341,1
447,206,366,1
448,206,367,1
449,207,170,1
450,207,209,1
451,207,253,1
452,207,265,1
453,207,315,1
454,207,336,1
455,208,208,1
456,208,209,1
457,208,210,1
458,208,235,1
459,208,306,1
460,208,337,1
461,208,343,1
462,208,347,1
463,208,364,1
464,208,369,1
465,208,370,1
466,209,169,1
467,209,209,1
468,209,210,1
469,209,211,1
470,209,212,1
471,209,246,1
472,209,268,1
473,209,335,1
474,209,343,1
475,210,169,1
476,210,211,1
477,210,212,1
478,210,223,1
479,210,251,1
480,210,328,1
481,210,336,1
482,210,340,1
483,210,364,1
484,210,370,1
485,211,184,1
486,211,201,1
487,211,264,1
488,211,269,1
489,211,277,1
490,211,279,1
491,212,192,1
492,212,196,1
493,212,198,1
494,212,215,1
495,212,230,1
496,212,232,1
497,212,239,1
498,212,255,1
499,212,277,1
500,212,305,1
501,212,340,1
502,213,187,1
503,213,228,1
504,213,249,1
505,214,204,1
506,214,245,1
507,214,285,1
508,214,300,1
509,214,329,1
510,215,231,1
511,215,238,1
512,215,252,1
513,215,273,1
514,215,291,1
515,215,301,1
516,215,313,1
517,216,186,1
518,216,250,1
519,216,269,1
520,216,313,1
521,216,346,1
522,216,350,1
523,216,371,1
524,217,186,1
525,217,226,1
526,217,242,1
527,217,309,1
528,217,345,1
529,218,206,1
530,218,209,1
531,218,241,1
532,218,253,1
533,218,263,1
534,218,269,1
535,218,295,1
536,218,301,1
537,218,341,1
538,218,353,1
539,219,217,1
540,219,231,1
541,219,262,1
542,219,302,1
543,219,321,1
544,219,339,1
545,219,343,1
546,219,350,1
547,219,356,1
548,219,359,1
549,220,192,1
550,220,207,1
551,220,225,1
552,220,227,1
553,220,242,1
554,220,343,1
555,220,352,1
556,221,192,1
557,221,231,1
558,221,263,1
559,221,314,1
560,221,336,1
561,221,347,1
562,222,203,1
563,222,208,1
564,222,290,1
565,222,368,1
566,222,376,1
567,223,179,1
568,223,230,1
569,223,242,1
570,223,248,1
571,223,317,1
572,223,334,1
573,223,335,1
574,223,350,1
575,223,353,1
576,224,178,1
577,224,197,1
578,224,239,1
579,224,317,1
580,225,208,1
581,225,269,1
582,225,289,1
583,225,338,1
584,226,162,1
585,226,210,1
586,226,212,1
587,226,214,1
588,226,229,1
589,226,240,1
590,226,244,1
591,226,250,1
592,226,286,1
593,226,330,1
594,227,202,1
595,227,216,1
596,227,225,1
597,227,234,1
598,227,255,1
599,227,259,1
600,227,262,1
601,227,321,1
602,228,174,1
603,228,240,1
604,228,244,1
605,228,286,1
606,228,320,1
607,228,336,1
608,229,164,1
609,229,191,1
610,229,194,1
611,229,212,1
612,229,225,1
613,229,236,1
614,229,249,1
